senior_class,senior_id,content,product_name,gid,market_price,order_overdue,price_min,sale_mode,sale_count,sale_fee,summary,url,start_time,Img800,comment_tag,create_time,end_time,one_size_pid,one_size_saled,one_size_inventory,one_size_name
服装配饰,93,配饰,七面弹力织物运动腰带,104397,49.0,7200,39.0,301,0,0,柔软微弹，松紧自如，双环合金扣，真皮加固,http://m.youpin.mi.com/shop/detail?gid=104397,00-00-00,https://img.youpin.mi-img.com/800_pic/c0b4d2dc30beb36cb3fec05fe5d92237.png,		质量好|49	高性价比|37	使用舒适|29	好用|27	漂亮美观|17	包装好|4	手感佳|3	做工精致|2,2018-11-19,00-00-00,20258,811,752,七面弹力织物运动腰带（双环扣）黑色XL码
服装配饰,93,配饰,七面弹力织物运动腰带,104397,49.0,7200,39.0,301,0,0,柔软微弹，松紧自如，双环合金扣，真皮加固,http://m.youpin.mi.com/shop/detail?gid=104397,00-00-00,https://img.youpin.mi-img.com/800_pic/c0b4d2dc30beb36cb3fec05fe5d92237.png,		质量好|49	高性价比|37	使用舒适|29	好用|27	漂亮美观|17	包装好|4	手感佳|3	做工精致|2,2018-11-19,00-00-00,20257,992,666,七面弹力织物运动腰带（双环扣）黑色L码
服装配饰,93,配饰,七面弹力织物运动腰带,104397,49.0,7200,39.0,301,0,0,柔软微弹，松紧自如，双环合金扣，真皮加固,http://m.youpin.mi.com/shop/detail?gid=104397,00-00-00,https://img.youpin.mi-img.com/800_pic/c0b4d2dc30beb36cb3fec05fe5d92237.png,		质量好|49	高性价比|37	使用舒适|29	好用|27	漂亮美观|17	包装好|4	手感佳|3	做工精致|2,2018-11-19,00-00-00,20256,1022,572,七面弹力织物运动腰带（双环扣）黑色M码
服装配饰,93,配饰,七面弹力织物运动腰带,104397,49.0,7200,39.0,301,0,0,柔软微弹，松紧自如，双环合金扣，真皮加固,http://m.youpin.mi.com/shop/detail?gid=104397,00-00-00,https://img.youpin.mi-img.com/800_pic/c0b4d2dc30beb36cb3fec05fe5d92237.png,		质量好|49	高性价比|37	使用舒适|29	好用|27	漂亮美观|17	包装好|4	手感佳|3	做工精致|2,2018-11-19,00-00-00,20266,383,0,七面弹力织物运动腰带（双环扣）拼色蓝XL码
服装配饰,93,配饰,七面弹力织物运动腰带,104397,49.0,7200,39.0,301,0,0,柔软微弹，松紧自如，双环合金扣，真皮加固,http://m.youpin.mi.com/shop/detail?gid=104397,00-00-00,https://img.youpin.mi-img.com/800_pic/c0b4d2dc30beb36cb3fec05fe5d92237.png,		质量好|49	高性价比|37	使用舒适|29	好用|27	漂亮美观|17	包装好|4	手感佳|3	做工精致|2,2018-11-19,00-00-00,20255,637,384,七面弹力织物运动腰带（双环扣）黑色S码
服装配饰,93,配饰,七面弹力织物运动腰带,104397,49.0,7200,39.0,301,0,0,柔软微弹，松紧自如，双环合金扣，真皮加固,http://m.youpin.mi.com/shop/detail?gid=104397,00-00-00,https://img.youpin.mi-img.com/800_pic/c0b4d2dc30beb36cb3fec05fe5d92237.png,		质量好|49	高性价比|37	使用舒适|29	好用|27	漂亮美观|17	包装好|4	手感佳|3	做工精致|2,2018-11-19,00-00-00,20265,454,33,七面弹力织物运动腰带（双环扣）拼色蓝L码
服装配饰,93,配饰,七面弹力织物运动腰带,104397,49.0,7200,39.0,301,0,0,柔软微弹，松紧自如，双环合金扣，真皮加固,http://m.youpin.mi.com/shop/detail?gid=104397,00-00-00,https://img.youpin.mi-img.com/800_pic/c0b4d2dc30beb36cb3fec05fe5d92237.png,		质量好|49	高性价比|37	使用舒适|29	好用|27	漂亮美观|17	包装好|4	手感佳|3	做工精致|2,2018-11-19,00-00-00,20264,473,550,七面弹力织物运动腰带（双环扣）拼色蓝M码
服装配饰,93,配饰,七面弹力织物运动腰带,104397,49.0,7200,39.0,301,0,0,柔软微弹，松紧自如，双环合金扣，真皮加固,http://m.youpin.mi.com/shop/detail?gid=104397,00-00-00,https://img.youpin.mi-img.com/800_pic/c0b4d2dc30beb36cb3fec05fe5d92237.png,		质量好|49	高性价比|37	使用舒适|29	好用|27	漂亮美观|17	包装好|4	手感佳|3	做工精致|2,2018-11-19,00-00-00,20263,303,721,七面弹力织物运动腰带（双环扣）拼色蓝S码
服装配饰,93,配饰,七面弹力织物运动腰带,104397,49.0,7200,39.0,301,0,0,柔软微弹，松紧自如，双环合金扣，真皮加固,http://m.youpin.mi.com/shop/detail?gid=104397,00-00-00,https://img.youpin.mi-img.com/800_pic/c0b4d2dc30beb36cb3fec05fe5d92237.png,		质量好|49	高性价比|37	使用舒适|29	好用|27	漂亮美观|17	包装好|4	手感佳|3	做工精致|2,2018-11-19,00-00-00,20262,778,496,七面弹力织物运动腰带（双环扣）拼色灰XL码
服装配饰,93,配饰,七面弹力织物运动腰带,104397,49.0,7200,39.0,301,0,0,柔软微弹，松紧自如，双环合金扣，真皮加固,http://m.youpin.mi.com/shop/detail?gid=104397,00-00-00,https://img.youpin.mi-img.com/800_pic/c0b4d2dc30beb36cb3fec05fe5d92237.png,		质量好|49	高性价比|37	使用舒适|29	好用|27	漂亮美观|17	包装好|4	手感佳|3	做工精致|2,2018-11-19,00-00-00,20261,975,784,七面弹力织物运动腰带（双环扣）拼色灰L码
