"","channel","attrs","choosed_sku","choosed_channel","chayi_huizong"
"223","city_rank","xiuchang","无袖","二线",0.0364188968709534
"224","city_rank","xiuchang","无袖","四线",0.0352208791509837
"225","city_rank","xiuchang","无袖","特一线",0.0348694777757888
"226","city_rank","xiuchang","露肩袖","一线",0.093065758409056
"227","city_rank","xiuchang","露肩袖","三线",0.0773982854511539
"228","city_rank","xiuchang","露肩袖","二线",0.0874562523006494
"229","city_rank","xiuchang","露肩袖","四线",0.0732137694046767
"230","city_rank","xiuchang","露肩袖","特一线",0.102717275430935
"231","city_rank","xiuchang","背带","一线",0.106394111299217
"232","city_rank","xiuchang","背带","三线",0.100344678321769
"233","city_rank","xiuchang","背带","二线",0.0952380952380952
"234","city_rank","xiuchang","背带","四线",0.0833333333333333
"235","city_rank","xiuchang","背带","特一线",0.221524112561765
"236","city_rank","xiuchang","中袖","一线",0.0548326495060396
"237","city_rank","xiuchang","中袖","三线",0.0513193064444793
"238","city_rank","xiuchang","中袖","二线",0.0529135431124884
"239","city_rank","xiuchang","中袖","四线",0.0497594042522137
"240","city_rank","xiuchang","中袖","特一线",0.0695649659900441
"241","city_rank","xiuchang","长袖","一线",0.0981218879582099
"242","city_rank","xiuchang","长袖","三线",0.0913414159038186
"243","city_rank","xiuchang","长袖","二线",0.111966938262965
"244","city_rank","xiuchang","长袖","四线",0.0977096986016657
"245","city_rank","xiuchang","长袖","特一线",0.178900503875897
"246","city_rank","xiuchang","吊带","一线",0.268046725355761
"247","city_rank","xiuchang","吊带","三线",0.113889221588608
"248","city_rank","xiuchang","吊带","二线",0.11777136124984
"249","city_rank","xiuchang","吊带","四线",0.170869213738596
"250","city_rank","xiuchang","吊带","特一线",0.230356802465938
"251","area_rank","xiuchang","短袖","(200,400]",0.0395231840155947
"252","area_rank","xiuchang","短袖","(400,600]",0.0479903382283204
"253","area_rank","xiuchang","短袖","(600,800]",0.0547076834481666
"254","area_rank","xiuchang","短袖","(800,3e+03]",0.0720954213069478
"255","area_rank","xiuchang","短袖","[0,200]",0.0313303380554881
"256","area_rank","xiuchang","无袖","(200,400]",0.036609956188852
"257","area_rank","xiuchang","无袖","(400,600]",0.0484201759124531
"258","area_rank","xiuchang","无袖","(600,800]",0.0651496725856105
"259","area_rank","xiuchang","无袖","(800,3e+03]",0.0795849508262787
"260","area_rank","xiuchang","无袖","[0,200]",0.024816742473899
"261","area_rank","xiuchang","露肩袖","(200,400]",0.0775102042870123
"262","area_rank","xiuchang","露肩袖","(400,600]",0.0949023193712811
"263","area_rank","xiuchang","露肩袖","(600,800]",0.145022281602567
"264","area_rank","xiuchang","露肩袖","(800,3e+03]",0.155501466517921
"265","area_rank","xiuchang","露肩袖","[0,200]",0.0675817731484513
"266","area_rank","xiuchang","背带","(200,400]",0.0952380952380952
"267","area_rank","xiuchang","背带","(400,600]",0.106108056221604
"268","area_rank","xiuchang","背带","(600,800]",0.222222222222222
"269","area_rank","xiuchang","背带","(800,3e+03]",0.222222222222222
"270","area_rank","xiuchang","背带","[0,200]",0.094427692848651
"271","area_rank","xiuchang","中袖","(200,400]",0.0517522876984989
"272","area_rank","xiuchang","中袖","(400,600]",0.0638673035773567
"273","area_rank","xiuchang","中袖","(600,800]",0.0757937378849324
"274","area_rank","xiuchang","中袖","(800,3e+03]",0.0985897810536597
"275","area_rank","xiuchang","中袖","[0,200]",0.0464584020173339
"276","area_rank","xiuchang","长袖","(200,400]",0.111717668936843
