index,物料,choosed_sku,渠道,choosed_channel,chayi_huizong,attrs,channel,paiming
1针织省市级别,面料,1针织,省市级别,镇级,0.045530747,mianliao,provi_rank,564
1雪纺城市级别,面料,1雪纺,城市级别,一线,0.222916637,mianliao,city_rank,93
1雪纺面积段,面料,1雪纺,面积段,"(600,800]",0.221871176,mianliao,area_rank,94
1雪纺省市级别,面料,1雪纺,省市级别,省级,0.190066358,mianliao,provi_rank,131
1雪纺模式,面料,1雪纺,模式,商超,0.18861907,mianliao,moshi_rank,132
1雪纺面积段,面料,1雪纺,面积段,"(800,3e+03]",0.159147647,mianliao,area_rank,187
1雪纺模式,面料,1雪纺,模式,SPM,0.156502524,mianliao,moshi_rank,192
1雪纺省市级别,面料,1雪纺,省市级别,直辖,0.145583918,mianliao,provi_rank,205
1雪纺城市级别,面料,1雪纺,城市级别,特一线,0.131904099,mianliao,city_rank,223
1雪纺省市级别,面料,1雪纺,省市级别,地级,0.123982167,mianliao,provi_rank,242
1雪纺模式,面料,1雪纺,模式,NULL,0.113247911,mianliao,moshi_rank,269
1雪纺城市级别,面料,1雪纺,城市级别,二线,0.106854513,mianliao,city_rank,289
1雪纺城市级别,面料,1雪纺,城市级别,四线,0.105285591,mianliao,city_rank,296
1雪纺面积段,面料,1雪纺,面积段,"(400,600]",0.103957474,mianliao,area_rank,300
1雪纺模式,面料,1雪纺,模式,特卖,0.101369552,mianliao,moshi_rank,310
1雪纺南中北,面料,1雪纺,南中北,北,0.100636022,mianliao,nzb,315
1雪纺面积段,面料,1雪纺,面积段,"(200,400]",0.098511186,mianliao,area_rank,321
1雪纺模式,面料,1雪纺,模式,地铺,0.092064741,mianliao,moshi_rank,347
1雪纺省市级别,面料,1雪纺,省市级别,镇级,0.089300892,mianliao,provi_rank,358
1雪纺南中北,面料,1雪纺,南中北,中,0.089126421,mianliao,nzb,361
1雪纺南中北,面料,1雪纺,南中北,南,0.075745415,mianliao,nzb,412
1雪纺面积段,面料,1雪纺,面积段,"[0,200]",0.066285392,mianliao,area_rank,451
1雪纺城市级别,面料,1雪纺,城市级别,三线,0.049683471,mianliao,city_rank,539
