id,name,type,address,location,pname,cityname,adname,city
B0FFI06QH5,森马(亚泰富苑购物中心),购物服务;服装鞋帽皮具店;品牌服装店,南关清明街亚泰富苑对面森马,125.326327,43.891536,吉林省,长春市,南关区,吉林省
B0FFF31Y61,森马(亚泰大街中东新天地一柜)(装修中),购物服务;专卖店;专营店,亚泰大街1138号新天地购物公园3楼东侧(近影城)新天地购物公园(亚泰大街)3层,125.344050,43.898961,吉林省,长春市,南关区,吉林省
B0FFGIX83D,森马,购物服务;服装鞋帽皮具店;品牌服装店,香坊大街街道红旗大街38号通乡商店4楼,126.689599,45.726271,黑龙江省,哈尔滨市,香坊区,黑龙江省
B0FFG7ITLC,SEMIR,购物服务;服装鞋帽皮具店;品牌服装店,中央大街92号,126.619428,45.771188,黑龙江省,哈尔滨市,道里区,黑龙江省
B01C30I9JE,SEMIR,购物服务;服装鞋帽皮具店;品牌服装店,西十二道街42号,126.620152,45.769558,黑龙江省,哈尔滨市,道里区,黑龙江省
B0FFGOCX3J,森马,购物服务;服装鞋帽皮具店;品牌服装店,新疆街道新疆大街117号红旗茂商厦二楼,126.628582,45.604748,黑龙江省,哈尔滨市,平房区,黑龙江省
B0FFJ1N0SP,森马(东大直街店),购物服务;服装鞋帽皮具店;品牌服装店,东大直街338号,126.645288,45.760053,黑龙江省,哈尔滨市,南岗区,黑龙江省
B0FFIPSR2O,森马(凯德广场),购物服务;购物相关场所;购物相关场所,埃德蒙顿路38号凯德广场2层,126.593796,45.734701,黑龙江省,哈尔滨市,道里区,黑龙江省
B0FFH84DKM,森马(时尚港购物广场西南),购物服务;服装鞋帽皮具店;品牌服装店,东大直街340号,126.644711,45.758813,黑龙江省,哈尔滨市,南岗区,黑龙江省
B0FFH816R3,森马(兰西通河街二店),购物服务;服装鞋帽皮具店;品牌服装店,保健路街道学府路53号国贸服装城2楼,126.613264,45.706184,黑龙江省,哈尔滨市,南岗区,黑龙江省
B0FFF2R9QD,森马(乐松购物广场),购物服务;服装鞋帽皮具店;品牌服装店,三大动力路8号乐松购物广场2F层,126.648069,45.719100,黑龙江省,哈尔滨市,香坊区,黑龙江省
B01C31AQTY,森马(东直路店),购物服务;服装鞋帽皮具店;品牌服装店,东直路100号家乐福永平店2层,126.675158,45.784981,黑龙江省,哈尔滨市,道外区,黑龙江省
B01C30I9RQ,森马(东大直街店),购物服务;服装鞋帽皮具店;品牌服装店,东大直街323-3号,126.643977,45.759692,黑龙江省,哈尔滨市,南岗区,黑龙江省
B0FFG846TD,森马(哈尔滨学院路一店),购物服务;服装鞋帽皮具店;品牌服装店,学院路泓林金色地标9栋4门,126.545802,45.873888,黑龙江省,哈尔滨市,呼兰区,黑龙江省
B0FFKT2GWQ,森马(枫叶小镇奥特莱斯店),购物服务;服装鞋帽皮具店;服装鞋帽皮具店,中源大道枫叶小镇,126.462171,45.822376,黑龙江省,哈尔滨市,松北区,黑龙江省
B0FFKKQWT0,森马(双城区景观大道店),购物服务;服装鞋帽皮具店;品牌服装店,景观大道金阳大厦1号门市,126.318475,45.368385,黑龙江省,哈尔滨市,双城区,黑龙江省
B0FFICB4NO,森马(哈尔滨学院路二店),购物服务;服装鞋帽皮具店;品牌服装店,江北利民开发区学苑路柏林四季C1136,126.529324,45.874157,黑龙江省,哈尔滨市,呼兰区,黑龙江省
B0FFHXZ0L8,森马(红旗·Mall),购物服务;服装鞋帽皮具店;品牌服装店,新月街116号红旗·MallF2层,126.628187,45.605778,黑龙江省,哈尔滨市,平房区,黑龙江省
B0FFHNT7LD,森马(哈尔滨风线运动顾乡店),购物服务;服装鞋帽皮具店;服装鞋帽皮具店,顾乡大街85号世纪联华超市一楼,126.586863,45.737080,黑龙江省,哈尔滨市,道里区,黑龙江省
B0FFGNEAB8,森马(通江路店),购物服务;服装鞋帽皮具店;品牌服装店,木兰大街94号(木兰县畜牧兽医局东),128.044121,45.946366,黑龙江省,哈尔滨市,木兰县,黑龙江省
B0FFGIV95T,森马(金城胡同店),购物服务;服装鞋帽皮具店;品牌服装店,金城胡同北50米,126.973342,45.539257,黑龙江省,哈尔滨市,阿城区,黑龙江省
B0FFGET6R6,森马(太平洋商厦一店),购物服务;服装鞋帽皮具店;品牌服装店,新疆大街78号太平洋商厦4层,126.633019,45.606375,黑龙江省,哈尔滨市,平房区,黑龙江省
B0FFG7QZLY,森马(人民大街店),购物服务;服装鞋帽皮具店;品牌服装店,人民大街与太平路交叉口西北50米,127.402585,46.081385,黑龙江省,哈尔滨市,巴彦县,黑龙江省
B0FFG7QX5B,森马(宾州西路),购物服务;服装鞋帽皮具店;品牌服装店,宾州西路农业银行左侧,127.483975,45.757503,黑龙江省,哈尔滨市,宾县,黑龙江省
B0FFG73NTF,森马(哈尔滨亚布力和平路一店),购物服务;服装鞋帽皮具店;品牌服装店,亚布力风景区和平路(亚布力房地产交易中心北),128.610277,44.930910,黑龙江省,哈尔滨市,尚志市,黑龙江省
B0FFF2OF7Z,森马(裕民街),购物服务;服装鞋帽皮具店;服装鞋帽皮具店,周家街道C042周家客运站西150米,126.662947,45.460560,黑龙江省,哈尔滨市,双城区,黑龙江省
B01C31C6BS,森马(苇河华宇商场一店),购物服务;服装鞋帽皮具店;品牌服装店,苇河镇华宇商场楼下,128.381930,44.959140,黑龙江省,哈尔滨市,尚志市,黑龙江省
B01C31BN6M,森马(通江路),购物服务;服装鞋帽皮具店;品牌服装店,工程路与通江街交叉口南150米,129.252969,46.005099,黑龙江省,哈尔滨市,方正县,黑龙江省
B01C3180AP,森马(哈尔滨安埠商厦折扣店),购物服务;服装鞋帽皮具店;品牌服装店,延福街245号安埠商厦1层,126.693516,45.726721,黑龙江省,哈尔滨市,香坊区,黑龙江省
B01C317KVE,森马(山河镇卫生院东),购物服务;服装鞋帽皮具店;品牌服装店,山河镇山河大街200号,127.210569,44.710456,黑龙江省,哈尔滨市,五常市,黑龙江省
B01C317CI9,森马(建设大街店),购物服务;服装鞋帽皮具店;品牌服装店,建设大街663号,127.157377,44.917300,黑龙江省,哈尔滨市,五常市,黑龙江省
B01C30LGXZ,森马(哈尔滨市呼兰区地方志办公室北),购物服务;服装鞋帽皮具店;品牌服装店,南大街243附近,126.602233,45.982600,黑龙江省,哈尔滨市,呼兰区,黑龙江省
B01C30LG1I,森马(哈尔滨依兰老政府街一店),购物服务;服装鞋帽皮具店;品牌服装店,光明街24号附近,129.563859,46.316743,黑龙江省,哈尔滨市,依兰县,黑龙江省
B01C31AR0F,森马(普段着店),购物服务;服装鞋帽皮具店;品牌服装店,中央大街248号森马店,128.833309,45.837520,黑龙江省,哈尔滨市,方正县,黑龙江省
B0FFL7APL5,南岗建设街67号森马,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,建设街69号,126.644115,45.759586,黑龙江省,哈尔滨市,南岗区,黑龙江省
B0FFL7EETU,森马,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,桥北弘阳广场C馆二楼,118.724906,32.139057,江苏省,南京市,浦口区,江苏省
