id,品牌,名称,省份,城市,区县,地址,属性,经纬度,距离
B0FFK1ULA1,森马,森马,江苏省,常州市,新北区,新桥商业广场,成人,"119.966426,31.859074",2790
B0FFJYQ0KI,森马,森马,江苏省,无锡市,锡山区,大润发商场二楼,成人,"120.470602,31.605153",3268
B0FFJKZCXJ,森马,森马,江苏省,淮安市,淮安区,经二路与翔宇大道交叉口西北150米,成人,"119.125551,33.537027",720
B0FFJIT71D,森马,森马,江苏省,徐州市,邳州市,银杏大道新苏·国际商务中心四楼,成人,"117.979530,34.327763",267
B0FFIBELTQ,森马,森马,江苏省,镇江市,京口区,中山东路192号附近,成人,"119.453632,32.205717",3458
B0FFGX7URT,森马,森马,江苏省,盐城市,盐都区,秦南镇人民西路36号,成人,"119.915092,33.256686",1935
B0FFFZ4T5D,森马,森马,江苏省,连云港市,灌云县,三舍路与防洪路交叉口西北150米,成人,"119.547447,34.336315",2974
B0FFFWNEN9,森马,森马,江苏省,苏州市,张家港市,大新镇府前路323号,成人,"120.551612,31.969430",205
B0FFITWRN2,森马,森马,江苏省,常州市,武进区,前黄镇寨桥振兴路13号,成人,"119.900482,31.578412",3062
B0FFL7EETU,森马,森马,江苏省,南京市,浦口区,桥北弘阳广场C馆二楼,成人,"118.724906,32.139057",2159
B0FFL7CMZ8,森马,森马,江苏省,南京市,秦淮区,长乐路132号一楼临街,成人,"118.790031,32.016001",1931
B0FFL7A394,森马,森马,江苏省,无锡市,梁溪区,清扬路138号茂业天地二楼,成人,"120.308549,31.549813",1754
B0FFKR4SEM,森马,森马,江苏省,南京市,秦淮区,箍桶巷43号1幢附近,成人,"118.788860,32.015802",1636
B0FFKPUSP5,森马,森马,江苏省,南通市,如东县,南市路与群力巷交叉口北50米,成人,"121.191638,32.308278",3951
B0FFKPF3MW,森马,森马,江苏省,南通市,如东县,人民南路201号东南60米,成人,"121.191855,32.309486",199
B0FFKNM16R,森马,森马,江苏省,南通市,如皋市,长江东路22号(集贤楼小区东南),成人,"120.573101,32.101955",353
B0FFKG10UY,森马,森马,江苏省,扬州市,仪征市,解放东路828号宝能环球汇一楼,成人,"119.210343,32.278410",2881
B0FFK9HORP,森马,森马,江苏省,苏州市,昆山市,西湾泾路新城吾悦广场内,成人,"120.967041,31.332802",3238
B0FFK8BGMX,森马,森马,江苏省,盐城市,大丰区,S226(黄海路),成人,"120.514725,33.420565",346
B0FFJZMA9H,森马,森马,江苏省,常州市,武进区,[],成人,"119.980339,31.650769",2543
B0FFJXCDTB,森马,森马,江苏省,苏州市,太仓市,白云中路119号,成人,"121.067778,31.561773",2110
