first_category_code,first_category_name,second_category_code,second_category_name,productName,littlecode,sales,mainPic,season,originPrice,preSaleName,littlename,minPrice,sex,styleText,material,categoryCode,productCode,label,size
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,男装 Hokusai Blue印花T恤(短袖) 416192,416192,36,/hmall/test/u0000000005263/main/first/561/1.jpg,2019年夏季,99.0,,Hokusai Blue印花T恤(短袖),99.0,男装,['01 乳白色'],棉,"['1421456913', '1151178896', '1298155770', '1418289009', '1419837874', 'ALL']",u0000000005263,new_product,"['SMA002', 'SMA003', 'SMA004', 'SMA005', 'SMA006']"
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,男装 Hokusai Blue印花T恤(短袖) 416192,416192,18,/hmall/test/u0000000005262/main/first/561/1.jpg,2019年夏季,99.0,,Hokusai Blue印花T恤(短袖),99.0,男装,['62 粉蓝色'],棉,"['1151178896', '1298155770', '1418289009', '1419837874', 'ALL', '1421456913']",u0000000005262,new_product,"['SMA002', 'SMA003', 'SMA004', 'SMA005', 'SMA006']"
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,男装 SUPIMA COTTON针织短裤(印花) 417032,417032,21,/hmall/test/u0000000004620/main/first/561/1.jpg,2019年春季,40.0,,SUPIMA COTTON针织短裤(印花),40.0,男装,"['02 浅灰色', '66 蓝色']",棉,"['1419837874', 'ALL', '368897610', '874111128', '1421456913']",u0000000004620,new_product,"['SMA003', 'SMA004', 'SMA005', 'SMA006']"
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,【特别尺码】男装 SUPIMA COTTON针织短裤(普通腰) 414068,414068,83,/hmall/test/u0000000005015/main/first/561/1.jpg,2019年春季,40.0,,SUPIMA COTTON针织短裤(普通腰),40.0,【特别尺码】男装,"['00 白色', '04 烟灰色', '07 青灰色', '09 黑色', '15 珊瑚红色', '16 红色', '65 宝蓝色', '69 藏青色']",棉,"['1421456913', '1421174379', '1292499992', '1419837874', '1421098446', '368897610', '4181207028', '874111128', 'ALL']",u0000000005015,new_product,"['SMA007', 'SMA008', 'SMA009']"
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,【特别尺码】男装 优质长绒棉格子衬衫(长袖) 416893,416893,0,/hmall/test/u0000000004536/main/first/561/1.jpg,2019年春季,149.0,,优质长绒棉格子衬衫(长袖),129.0,【特别尺码】男装,"['11 粉红色', '65 宝蓝色', '04 烟灰色']",棉,"['1421456913', '1419837874']",u0000000004536,active_tags,['SMA007']
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,男装 优质长绒棉格子衬衫(长袖) 416893,416893,0,/hmall/test/u0000000004630/main/first/561/1.jpg,2019年春季,149.0,,优质长绒棉格子衬衫(长袖),129.0,男装,"['04 烟灰色', '11 粉红色']",棉,"['1419837874', '1421174377', '1421456913', '3000104', '3000105', '108492551']",u0000000004630,active_tags,"['SMA004', 'SMA005']"
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,男装 (UT) Pieter Ceizer印花T恤(短袖) 414330,414330,0,/hmall/test/u0000000005347/main/first/561/1.jpg,2019年夏季,99.0,,(UT) Pieter Ceizer印花T恤(短袖),99.0,男装,['00 白色'],棉,"['1299907040', 'ALL', '1298155770', '1151178896', '1421789894', '1421456913']",u0000000005347,new_product,"['SMA002', 'SMA003', 'SMA004', 'SMA005', 'SMA006']"
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,【特别尺码】男装 (UT) DPJ印花T恤(短袖) 416151,416151,1,/hmall/test/u0000000004841/main/first/561/1.jpg,2019年夏季,79.0,,(UT) DPJ印花T恤(短袖),79.0,【特别尺码】男装,"['00 白色', '09 黑色']",棉,"['1299907040', '1151178896', '1292081145', '1292499992', '1298155770', '1419837874', '1421456913', 'ALL']",u0000000004841,new_product,"['SMA007', 'SMA008', 'SMA009']"
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,【特别尺码】男装 (UT) DPJ印花T恤(短袖) 414323,414323,4,/hmall/test/u0000000004785/main/first/561/1.jpg,2019年夏季,79.0,,(UT) DPJ印花T恤(短袖),79.0,【特别尺码】男装,"['00 白色', '09 黑色']",棉,"['1299907040', '1151178896', '1292081145', '1292499992', '1298155770', '1419837874', '1421456913', 'ALL']",u0000000004785,new_product,"['SMA008', 'SMA009', 'SMA007']"
BENZHOUXINPIN20181210,本周新品,1421456913,男装 MEN,【特别尺码】男装 (UT) Pieter Ceizer印花T恤(短袖) 417200,417200,0,/hmall/test/u0000000005338/main/first/561/1.jpg,2019年夏季,99.0,,(UT) Pieter Ceizer印花T恤(短袖),99.0,【特别尺码】男装,"['09 黑色', '69 藏青色']",棉,"['1299907040', 'ALL', '1298155770', '1151178896', '1421789894', '1292499992', '1421456913']",u0000000005338,new_product,"['SMA007', 'SMA008', 'SMA009']"
