frontDesc,category_id,category_name,superCategoryId,colorNum,counterPrice,item_id,primaryPicUrl,name,simpleDesc,retailPrice,sellVolume,material,style,comment
贴身关怀 少束缚,1093011,女式内衣,1010000,2,99,1569013,https://yanxuan.nosdn.127.net/50be1175f66f9adc1000efd9f9bc97eb.png,女式无缝收腹提臀塑裤,柔韧舒适 不动声色的优雅曲线,99,5210,,,
贴身关怀 少束缚,1093011,女式内衣,1010000,2,99,1570009,https://yanxuan.nosdn.127.net/f07e461fdca1fad51efacdc0479464f9.jpg,女式无缝塑腰上衣,不添负担 温和塑型,99,4291,,,
贴身关怀 少束缚,1093011,女式内衣,1010000,0,99,1147002,https://yanxuan.nosdn.127.net/d244863d1b656761618377f321d5e105.png,女式丝滑打底裙,仅售供应商建议价的1/5,99,21,,,很舒服504	质量上乘338	手感好194	顺滑138	性价比高86	漂亮精致84	质感好52	尺寸合适49
贴身关怀 少束缚,1093011,女式内衣,1010000,2,129,1569012,https://yanxuan.nosdn.127.net/e43440db4687dfb56a76a406ae02953e.png,女式无缝可调肩带轻塑身连体衣,无缝塑形 人衣宛若一体,129,11530,,,
贴身关怀 少束缚,1093011,女式内衣,1010000,2,289,1220004,https://yanxuan.nosdn.127.net/7434335ff1ff41d0071e187ee4e57c61.png,女式色拉姆保暖内衣套装（上衣+裤子）,发热色拉姆面料，给你充分温暖感,289,576,,,很舒服493	质量上乘345	手感好151	保暖性好149	性价比高126	柔软62	颜色好看59	尺寸合适58
贴身关怀 少束缚,1093011,女式内衣,1010000,3,89,1159012,https://yanxuan.nosdn.127.net/fe88a5542e72dbdce5f5cba5bd692fec.png,女式极简长绒棉高领打底衫,气质秋冬，高领锁住脖颈的温度,89,4829,,,很舒服820	质量上乘548	材质薄406	手感好193	性价比高156	漂亮精致117	尺寸合适109	弹性不错99
贴身关怀 少束缚,1093011,女式内衣,1010000,3,49,1132002,https://yanxuan.nosdn.127.net/05cf9522d68978634a91408bc290fe18.png,女式皮马棉条纹吊带,四季好穿的PIMA吊带,49,1,,,质量上乘358	很舒服252	性价比高128	漂亮精致75	手感好55	尺寸合适39	面料好28	弹性不错24
贴身关怀 少束缚,1093011,女式内衣,1010000,3,89,1158014,https://yanxuan.nosdn.127.net/1ea282a393aea1c3da45cc97c8099899.png,女式极简长绒棉圆领打底衫,换季温暖，秘鲁pima棉的细腻之选,69,6773,,,很舒服248	质量上乘175	材质薄117	手感好40	性价比高39	柔软33	打底不错23	弹性不错23
贴身关怀 少束缚,1093011,女式内衣,1010000,2,259,1219004,https://yanxuan.nosdn.127.net/20d03293de79ca931503dd6c601a295b.png,女式速暖双层加厚保暖内衣套装（上衣+裤）,过冬有秘诀，告别瑟缩感,259,1296,,,很舒服542	质量上乘405	保暖性好154	手感好133	性价比高119	材质薄81	尺寸合适56	柔软51
贴身关怀 少束缚,1093011,女式内衣,1010000,3,79,1132003,https://yanxuan.nosdn.127.net/e8b86bf2b0907a33a998fec4484d0f30.png,女式皮马棉条纹背心,棉中贵族，超长纤维,79,12,,,质量上乘424	很舒服300	性价比高161	漂亮精致80	手感好76	尺寸小59	弹性不错34	面料好33
贴身关怀 少束缚,1093011,女式内衣,1010000,3,99,1535002,https://yanxuan.nosdn.127.net/cf6d4619a3b2b61f9683646802bae350.png,女式轻暖美雅碧内衣套装（上衣＋裤子）,保暖黑科技，轻薄过冬,99,8158,,,
贴身关怀 少束缚,1093011,女式内衣,1010000,4,169,1164006,https://yanxuan.nosdn.127.net/395ced723a53ca3f28f03059e676cab1.png,女式咖啡碳+5℃保暖套装（上衣+裤子）,这个冬季的御冷利器,169,40103,,,很舒服6855	质量上乘4804	保暖性好2898	性价比高1874	材质薄1268	手感好1094	尺寸合适731	柔软607
贴身关怀 少束缚,1093011,女式内衣,1010000,2,469,1051012,https://yanxuan.nosdn.127.net/6c02dbe7c9d90f43fc4aaa78b9736757.png,女式高奢羊毛内衣套装,堪比羊绒的储热羊毛,469,1,,,很舒服67	质量上乘64	手感好40	保暖性好25	性价比高16	送人合适12	包装用心10	柔软8
贴身关怀 少束缚,1093011,女式内衣,1010000,3,299,1536001,https://yanxuan.nosdn.127.net/ae5cab50683d74bf7d99e73366e5a919.png,女式色拉姆内衣套装（升级版 上衣+裤子）,"持久温暖，冬日里的小确幸
",299,14645,,,
贴身关怀 少束缚,1093011,女式内衣,1010000,0,229,1536000,https://yanxuan.nosdn.127.net/261e002efe1699da0bd6d68416f64783.png,女式轻薄暖衣套装（上衣+裤子）,柔滑暖意，呵护一冬,229,9377,,,
贴身关怀 少束缚,1093011,女式内衣,1010000,0,299,1651021,https://yanxuan.nosdn.127.net/5cb48856f324d3b2ef2f545df72fac01.png,女式真丝内里微修型内衣套装（上衣+内裤）,"6A级桑蚕丝，养肤微修型
",299,1367,,,
贴身关怀 少束缚,1093011,女式内衣,1010000,2,99,1634007,https://yanxuan.nosdn.127.net/8174a6d1d45937bc54d48677d7262e55.png,女式无缝全罩杯文胸,完整包覆，给胸部假期式的轻松,99,9603,,,
绅士的第二肌肤,1093013,男式内衣,1010000,2,489,1124003,https://yanxuan.nosdn.127.net/ec61180158a5ca69313d59fc25446d8a.png,男式高奢羊毛内衣礼盒（鸡年礼盒）,Aimer高端线同面料,489,1,,,质量上乘20	送人合适17	很舒服13	手感好12	保暖性好5
绅士的第二肌肤,1093013,男式内衣,1010000,4,99,1021015,https://yanxuan.nosdn.127.net/485341bfc4eb0e43e8466049046fa574.png,男式莫代尔V领T恤,丝光后处理，严抗起球,99,1349,,,很舒服1897	质量上乘953	手感好457	性价比高356	尺寸合适194	面料好144	包装用心144	材质薄135
绅士的第二肌肤,1093013,男式内衣,1010000,4,99,1021016,https://yanxuan.nosdn.127.net/963c045bb555d217c9a8a2fbe1899a30.png,男式莫代尔圆领T恤,德国机织的细密莫代尔,99,1216,,,很舒服2057	质量上乘967	手感好427	性价比高315	材质薄187	尺寸合适170	包装用心166	面料好150
绅士的第二肌肤,1093013,男式内衣,1010000,2,109,1130043,https://yanxuan.nosdn.127.net/307862892ceccec77a752c5b380c51bb.png,男式超细莫代尔无痕背心,仅售供应商建议价的1/5,70.8,3175,,,很舒服621	质量上乘374	性价比高128	手感好116	尺寸合适61	衣服合身54	面料好41	无痕36
绅士的第二肌肤,1093013,男式内衣,1010000,2,259,1220006,https://yanxuan.nosdn.127.net/e1d70f8ac0bd150513007f96643d6d16.png,男式速暖双层加厚保暖内衣套装（上衣+裤）,即刻感觉实在的温暖感,259,1927,,,质量上乘569	很舒服566	手感好171	保暖性好168	性价比高147	材质薄131	衣服合身68	尺寸合适68
绅士的第二肌肤,1093013,男式内衣,1010000,3,99,1535001,https://yanxuan.nosdn.127.net/e1d63df1243f5ef58b96eb19ed8a52f6.png,男式轻暖美雅碧内衣套装（上衣＋裤子）,薄薄一件，贴身温暖,99,9109,,,很舒服17	质量上乘15	性价比高5	保暖性好5
绅士的第二肌肤,1093013,男式内衣,1010000,2,289,1219003,https://yanxuan.nosdn.127.net/cf49270279dd43c1d42ce2241b886da5.png,男式色拉姆保暖内衣套装（上衣+裤子）,身体穿的出的实在温暖,289,564,,,很舒服601	质量上乘417	手感好210	保暖性好187	性价比高178	材质薄103	尺寸合适79	面料轻柔44
